lat,lon,alt
32.869441,-117.220837,98.8
32.86944,-117.220838,98.7
32.869439,-117.220836,98.9
32.86944,-117.220822,99.4
32.869441,-117.22081,99.4
32.86944,-117.220799,99.1
32.869441,-117.220786,98.9
32.869442,-117.220773,98.6
32.86944,-117.220761,98.4
32.869441,-117.220746,98.5
32.86944,-117.220733,98.5
32.869439,-117.220721,98.5
32.869441,-117.220707,98.5
32.869443,-117.220693,98.5
32.869445,-117.220685,98.2
32.869445,-117.220684,97.5
32.869446,-117.220683,97.7
32.869446,-117.220682,97.9
32.869447,-117.220681,98.1
32.869447,-117.22068,98.3
32.869448,-117.220679,98.4
32.869448,-117.220678,98.5
32.869449,-117.220677,98.6
32.869449,-117.220675,98.7
32.86945,-117.220673,98.7
32.86945,-117.220671,98.7
