lat,lon,alt
32.869441,-117.220828,97.5
32.869438,-117.220836,97.5
32.869436,-117.220839,98.5
32.869437,-117.220831,98.5
32.869438,-117.220819,98.2
32.869439,-117.220809,98.1
32.86944,-117.220799,98.0
32.869442,-117.220787,98.0
32.869443,-117.220777,98.0
32.869444,-117.220768,98.0
32.869445,-117.220758,97.9
32.869445,-117.220748,97.9
32.869445,-117.220739,98.0
32.869445,-117.22073,98.0
32.869444,-117.22072,98.1
32.869443,-117.22071,98.2
32.869442,-117.220701,98.2
32.86944,-117.220692,97.9
32.869441,-117.220686,97.0
32.869441,-117.220685,97.3
32.869442,-117.220684,97.4
32.869443,-117.220683,97.5
32.869443,-117.220681,97.6
32.869443,-117.220679,97.6
32.869444,-117.220677,97.7
32.869444,-117.220674,97.7
32.869444,-117.220672,97.7
32.869445,-117.220671,97.8
32.869445,-117.22067,97.8
32.869445,-117.22067,97.7
