lat,lon,alt
32.869474,-117.220812,99.5
32.869471,-117.220815,99.5
32.86947,-117.220819,99.7
32.86947,-117.220817,99.8
32.869468,-117.220814,100.2
32.869468,-117.220807,100.0
32.869468,-117.220799,100.0
32.869469,-117.220788,99.8
32.869469,-117.220778,99.5
32.869469,-117.220769,99.5
32.869468,-117.220758,99.4
32.869468,-117.220745,99.3
32.869466,-117.220734,99.3
32.869465,-117.220722,99.1
32.869463,-117.220709,98.9
32.869461,-117.220697,98.7
32.86946,-117.220679,98.7
32.86946,-117.220673,98.0
32.86946,-117.220674,98.1
32.86946,-117.220675,98.4
32.86946,-117.220675,98.5
32.869459,-117.220676,98.5
32.869458,-117.220676,98.6
32.869458,-117.220677,98.6
32.869457,-117.220677,98.6
32.869457,-117.220677,98.6
32.869457,-117.220677,98.7
32.869457,-117.220678,98.7
32.869456,-117.220678,98.7
32.869456,-117.220678,98.6
