lat,lon,alt
32.869464,-117.220823,97.9
32.869464,-117.220824,97.8
32.869463,-117.220825,97.9
32.869462,-117.220825,97.9
32.869461,-117.220826,97.8
32.86946,-117.220825,97.8
32.86946,-117.220818,98.5
32.869457,-117.220812,98.4
32.869456,-117.220806,98.1
32.869456,-117.220801,97.9
32.869457,-117.220791,97.8
32.869457,-117.220783,97.7
32.869457,-117.220773,97.6
32.869456,-117.220766,97.4
32.869456,-117.22076,97.3
32.869456,-117.220753,97.2
32.869454,-117.220743,97.1
32.869452,-117.220733,97.1
32.869451,-117.220722,97.1
32.869451,-117.220711,97.1
32.86945,-117.2207,97.1
32.869449,-117.220694,97.1
32.869448,-117.220687,96.5
32.869449,-117.220678,96.2
32.869449,-117.220674,96.6
32.86945,-117.220672,96.7
32.869451,-117.220668,96.9
32.869451,-117.220664,97.1
32.869453,-117.220661,97.3
32.869453,-117.22066,97.4
32.869454,-117.220659,97.4
