lat,lon,alt
32.869504,-117.220803,113.5
32.869505,-117.220801,113.5
32.869505,-117.220798,113.6
32.869506,-117.220797,113.7
32.869507,-117.220795,113.7
32.869508,-117.220794,113.7
32.869509,-117.220791,113.6
32.869509,-117.22079,113.6
32.869509,-117.220788,113.6
32.869509,-117.220783,113.6
32.869507,-117.220781,113.7
32.8695,-117.220782,113.8
32.869499,-117.220781,113.8
32.869498,-117.220781,113.7
32.869497,-117.220783,113.7
32.869497,-117.220786,113.6
32.869497,-117.220787,113.6
32.869496,-117.220789,113.5
