lat=32.869475,lon=-117.220805,alt=101.5
lat=32.869476,lon=-117.220804,alt=101.6
lat=32.869477,lon=-117.220803,alt=101.6
lat=32.869478,lon=-117.220802,alt=101.6
lat=32.869478,lon=-117.220803,alt=101.5
lat=32.869479,lon=-117.220803,alt=101.5
lat=32.869480,lon=-117.220803,alt=101.6
lat=32.869480,lon=-117.220804,alt=101.7
lat=32.869481,lon=-117.220803,alt=101.7
lat=32.869480,lon=-117.220803,alt=101.7
lat=32.869481,lon=-117.220802,alt=101.7
lat=32.869482,lon=-117.220800,alt=101.7
lat=32.869482,lon=-117.220800,alt=101.7
lat=32.869482,lon=-117.220800,alt=101.7
lat=32.869482,lon=-117.220800,alt=101.7
lat=32.869482,lon=-117.220800,alt=101.7
lat=32.869482,lon=-117.220800,alt=101.7
lat=32.869482,lon=-117.220799,alt=101.7
