lat,lon,alt
32.869457,-117.220826,99.8
32.869455,-117.220827,99.9
32.869452,-117.220828,100.1
32.869451,-117.22083,100.2
32.869449,-117.220832,100.2
32.869448,-117.220829,101.0
32.869446,-117.220823,100.8
32.869446,-117.220816,100.6
32.869447,-117.220809,100.3
32.869448,-117.220802,100.2
32.869451,-117.220794,100.0
32.869451,-117.220784,100.0
32.869451,-117.220775,100.0
32.869451,-117.220766,99.5
32.869451,-117.220764,99.3
32.869456,-117.220762,99.6
32.869459,-117.220759,99.8
32.869461,-117.220755,100.0
32.869462,-117.220753,100.2
32.869463,-117.220751,100.3
32.869464,-117.22075,100.4
32.869465,-117.220751,100.4
32.869466,-117.220751,100.4
