lat,lon,alt
32.869468,-117.220819,100.2
32.869468,-117.22082,100.2
32.869467,-117.220821,100.2
32.869467,-117.220823,100.1
32.869467,-117.220825,100.2
32.869467,-117.220811,100.3
32.869465,-117.220795,100.0
32.869467,-117.220775,99.7
32.869467,-117.220756,99.0
32.869468,-117.220755,98.7
32.869467,-117.220756,99.0
32.869468,-117.220757,99.1
32.869467,-117.220759,99.2
32.869466,-117.220759,99.2
32.869466,-117.22076,99.3
32.869466,-117.22076,99.3
32.869466,-117.22076,99.4
32.869465,-117.220761,99.4
32.869465,-117.220761,99.4
32.869466,-117.220762,99.5
32.869466,-117.220763,99.4
32.869466,-117.220763,99.5
