lat,lon,alt
32.869436,-117.220828,99.8
32.869435,-117.220828,99.8
32.869433,-117.22083,99.7
32.869431,-117.220831,99.7
32.86943,-117.220832,99.7
32.869429,-117.220833,99.7
32.869428,-117.220834,99.9
32.869424,-117.22083,100.6
32.869426,-117.220826,100.7
32.869428,-117.220818,100.4
32.869429,-117.22081,100.2
32.869431,-117.2208,100.1
32.869433,-117.220789,100.1
32.869434,-117.22078,100.1
32.869435,-117.220773,100.0
32.869435,-117.220766,99.3
32.869437,-117.220764,99.2
32.869441,-117.220763,99.3
32.869444,-117.220762,99.5
32.869447,-117.220762,99.6
32.869448,-117.220761,99.6
32.869448,-117.22076,99.6
32.869449,-117.220759,99.6
