lat,lon,alt
32.869433,-117.220828,100.8
32.869432,-117.22083,100.5
32.869434,-117.220827,100.4
32.869436,-117.220816,100.3
32.869438,-117.220806,100.3
32.869437,-117.220798,100.3
32.869436,-117.220797,100.3
32.869435,-117.220797,100.3
32.869436,-117.220799,100.3
32.869436,-117.2208,100.2
32.869437,-117.220801,100.1
32.869437,-117.220801,100.1
32.869437,-117.220802,100.1
32.869437,-117.220802,100.1
32.869437,-117.220803,100.1
32.869437,-117.220803,100.1
32.869437,-117.220803,100.1
32.869437,-117.220804,100.1
32.869437,-117.220805,100.1
