lat,lon,alt
32.869448,-117.220813,100.9
32.869448,-117.220813,100.9
32.869449,-117.220814,100.9
32.869449,-117.220814,100.9
32.86945,-117.220814,100.9
32.869451,-117.220815,101.0
32.869454,-117.220814,101.3
32.869456,-117.22081,101.7
32.869457,-117.220807,101.5
32.869457,-117.220804,101.4
32.869459,-117.220801,101.3
32.869459,-117.220796,101.1
32.869458,-117.220791,100.9
32.869459,-117.220787,100.7
32.869459,-117.220785,100.2
32.869459,-117.220785,100.5
32.869459,-117.220784,100.7
32.869459,-117.220783,100.6
32.869458,-117.220782,100.6
