lat,lon,alt,x,y
32.86956,-117.220479,95.7,-2452855.7263331763,-4768547.934792595
32.869559,-117.220479,95.6,-2452855.715446589,-4768547.913628198
32.86956,-117.220479,95.6,-2452855.6879144423,-4768547.8601035
32.869558000000005,-117.220479,95.6,-2452855.7429787354,-4768547.967152895
32.869557,-117.220478,95.6,-2452855.687284017,-4768548.063488
32.869557,-117.220478,95.5,-2452855.6488652835,-4768547.988798903
32.869558000000005,-117.220478,95.5,-2452855.6213331386,-4768547.935274207
32.869558000000005,-117.220479,95.5,-2452855.704560001,-4768547.8924638
32.86956,-117.22048,95.5,-2452855.7327225683,-4768547.742603999
32.86956,-117.22048,95.6,-2452855.771141303,-4768547.817293092
